"kingdom" "phylum" "class" "order" "family" "genus" "binomial" "statut" "category" "code" "name" "stressCode" "stressName" "scope" "severity" "timing" "threat"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale brevicaudata" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale brevicaudata" "endemic" "LC" "3.2" "Mining & quarrying" "1.1" "Ecosystem conversion" "" "" "Ongoing" "Energy production and mining"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale dobsoni" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale thomasi" "endemic" "LC" "7.1.1" "Increase in fire frequency/intensity" "1.2|2.1" "Ecosystem degradation|Species mortality" "" "" "Ongoing" "Natural system modifications"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale thomasi" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale thomasi" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Limnogale" "Limnogale mergulus" "endemic" "VU" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Limnogale" "Limnogale mergulus" "endemic" "VU" "5.4.3" "Unintentional effects: (subsistence/small scale) [harvest]" "2.1" "Species mortality" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Limnogale" "Limnogale mergulus" "endemic" "VU" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Limnogale" "Limnogale mergulus" "endemic" "VU" "9.3.2" "Soil erosion, sedimentation" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Pollution"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale talazaci" "endemic" "LC" "7.1.1" "Increase in fire frequency/intensity" "1.2|2.1" "Ecosystem degradation|Species mortality" "" "" "Ongoing" "Natural system modifications"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale talazaci" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale talazaci" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "2.1.2" "Small-holder farming" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "2.3.2" "Small-holder grazing, ranching or farming" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "2.3.1" "Nomadic grazing" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale soricoides" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale parvula" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale parvula" "endemic" "LC" "7.1.3" "Trend Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Natural system modifications"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale parvula" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale drouhardi" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale drouhardi" "endemic" "LC" "7.1.3" "Trend Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Natural system modifications"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale drouhardi" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Oryzorictes" "Oryzorictes tetradactylus" "endemic" "DD" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Oryzorictes" "Oryzorictes hova" "endemic" "LC" "1.1" "Housing & urban areas" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Residential and commercial development"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Geogale" "Geogale aurita" "endemic" "LC" "2.1.2" "Small-holder farming" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Geogale" "Geogale aurita" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
