kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys abrae	endemic	LC	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys datae	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys gracilirostris	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys hylocetes	endemic	LC	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys insignis	endemic	LC	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys littoralis	endemic	DD	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys microdon	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys musculus	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apomys	Apomys sacobianus	endemic	LC	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	3.4.1	Captive breeding/artificial propagation		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	5.1.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	1.2	Resource & habitat protection		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Aproteles bulmerae	endemic	CR	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Archboldomys	Archboldomys luzonensis	endemic	VU	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	MUSTELIDAE	Arctonyx	Arctonyx hoevenii	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Ardops	Ardops nichollsi	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus cuprosus	endemic	VU	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus torquatus	endemic	LC	Stable	2.3	Habitat & natural process restoration		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Arielulus torquatus	endemic	LC	Stable	1.2	Resource & habitat protection		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Ariteus	Ariteus flavescens	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Aselliscus	Aselliscus tricuspidatus	endemic	LC	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Aselliscus	Aselliscus tricuspidatus	endemic	LC	Stable	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SOLENODONTIDAE	Atopogale	Atopogale cubana	endemic	EN	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SOLENODONTIDAE	Atopogale	Atopogale cubana	endemic	EN	Decreasing	2.2	Invasive/problematic species control		
ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SOLENODONTIDAE	Atopogale	Atopogale cubana	endemic	EN	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Austronomus	Austronomus kuboriensis	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	INDRIIDAE	Avahi	Avahi laniger	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	INDRIIDAE	Avahi	Avahi occidentalis	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	INDRIIDAE	Avahi	Avahi unicolor	endemic	CR	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	INDRIIDAE	Avahi	Avahi unicolor	endemic	CR	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	3.4.1	Captive breeding/artificial propagation		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	4.1	Formal education		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	5.4.3	Sub-national level		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis calamianensis	endemic	EN	Decreasing	1.2	Resource & habitat protection		
