"ULM_ID" "REGION" "COUNTRYISO" "COUNTRY" "ARCHIP" "ISLAND" "LONG" "LAT" "Area"
12620 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -77.645714 21.921802 1.57
12621 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -82.614536 21.8967 7.09
12623 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Montanes" -77.583427 21.93086 1.55
12624 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -77.770969 21.928457 1.68
12628 "Caribbean Islands" "TCA" "Turks and Caicos Islands" "West Indies" NA -71.914523 21.931347 1.55
12632 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Isla de la Juventud" -82.840207 21.676128 2213.72
12640 "Caribbean Islands" "TCA" "Turks and Caicos Islands" "West Indies" "North Caicos Island" -71.962885 21.880341 213.05
12661 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Juan Garcia" -83.591807 21.967316 10.27
12662 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Grande" -82.655878 21.97379 7.5
12804 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.179488 22.140118 1.26
12844 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.074332 22.200042 1.41
12873 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Judas" -78.323046 22.24681 10.51
12881 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -77.931739 22.255613 9.65
12936 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Megano Grande" -77.916625 22.330093 8.6
12951 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Anton Grande" -78.054496 22.380727 1.85
12968 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.263658 22.397556 1.91
12988 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Salinas" -79.236676 22.428875 1.79
13006 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.580099 22.451179 1.07
13010 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Lucas" -79.277146 22.450383 5.48
13016 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.604425 22.453568 1.08
13022 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Aguado" -79.322324 22.460493 2.57
13027 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Paredon Grande" -78.17658 22.452793 15.73
13072 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.159818 22.539437 5.02
13074 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.749134 22.533166 8.8
13078 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.825262 22.541917 2.21
13088 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -84.226165 22.555333 1.34
13117 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.241835 22.586287 4.15
13134 "Caribbean Islands" "BHS" "Bahamas" "West Indies" NA -73.508925 22.604649 7.02
13142 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.077465 22.584657 2.47
13151 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Martin" -78.906103 22.522014 46
13161 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.052561 22.636554 1.23
13163 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Frances" -79.201011 22.635884 6.5
13164 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.128914 22.638261 1.01
13172 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.474517 22.643549 1.74
13185 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.425893 22.634414 18.1
13193 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.513174 22.661303 5.08
13210 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Acklins Island" -74.010021 22.469664 460.12
13212 "Caribbean Islands" "BHS" "Bahamas" "West Indies" NA -73.879489 22.715572 2.46
13214 "Caribbean Islands" "BHS" "Bahamas" "West Indies" NA -73.860107 22.718137 6.61
13223 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.625978 22.778233 1.02
13230 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Fragoso" -79.477052 22.715426 85.05
13235 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Medio" -79.660182 22.810992 1.76
13241 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Crooked Island" -74.201491 22.740112 268.44
13246 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.679151 22.843514 8.24
13253 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.704724 22.868337 6.14
13255 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.729971 22.876191 4.26
13267 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.716778 22.893015 2.89
13270 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Alacranes" -83.452447 22.901416 4.49
13272 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.945688 22.900673 2.33
13282 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Lanzanillo" -79.796317 22.933694 1.82
13293 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.863753 22.950459 2.84
13295 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Chubasco" -79.910179 22.942765 24.85
13296 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Hachuela" -79.954215 22.959483 3.06
13298 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.851953 22.963768 1.76
13300 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.829311 22.953171 6.22
13301 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Bombam" -80.130392 22.970465 1.14
13309 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Mariposa" -79.96098 22.976112 3.32
13323 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo de la Cruz" -79.991554 22.995669 2.84
13343 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Rancho del Cojo" -80.098177 23.00791 9.13
13349 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.125327 23.022479 1.37
13360 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cuadrado" -80.180634 22.997971 17.72
13369 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Iguana" -80.013848 23.02288 12.36
13373 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.234026 23.045847 1.26
13389 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.555167 23.058185 1.36
13393 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.586299 23.068131 1.01
13394 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Esquivel del Sur" -80.070487 23.04923 11.58
13403 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Mahomito" -80.236614 23.076684 2.07
13409 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.131408 23.089318 1.18
13430 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cera" -80.373663 23.108771 1.07
13438 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Sotavento" -80.181418 23.075122 41.26
13440 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.553559 23.110974 2.08
13444 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Rioja" -80.712247 23.110531 3.27
13445 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cuaba" -80.252278 23.104219 7.64
13455 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Llanes" -80.280318 23.119975 3.83
13459 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.318407 23.125907 5
13465 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.576999 23.132024 1.55
13467 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.239586 23.125726 2.47
13476 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.27994 23.138169 1.74
13483 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Basura" -80.405267 23.143793 12.49
13501 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Portillo" -80.76313 23.161276 2.58
13533 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Machos" -80.986444 23.180883 1.82
13534 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.867231 23.141729 44.07
13547 "Caribbean Islands" "BHS" "Bahamas" "West Indies" NA -75.150816 23.18313 3.5
13557 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.737031 23.188264 1.2
13562 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.634887 23.192614 1.02
13567 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cuba" -78.935884 21.617345 106901.26
13568 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.721036 23.198798 1.43
13571 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.693457 23.196213 2.49
13572 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.753004 23.197903 2.86
13579 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.669315 23.207394 1.26
13582 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cabezos" -80.543639 23.188005 28.98
13583 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -81.027431 23.210739 2.24
13584 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -80.811294 23.209646 8.63
13594 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Blanco" -81.002092 23.238676 4.34
13599 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cruz del Padre" -80.905168 23.245998 28.12
13705 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Madam Dau's Cay" -76.037292 23.670019 2.28
13712 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Long Island" -75.07459 23.22273 462.86
13724 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Great Exuma Island" -75.849478 23.550259 237.75
13751 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Baraterre" -76.053066 23.684208 15.09
13920 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "San Salvador Island" -74.493069 24.036976 154.54
14110 "California Islands" "MEX" "Mexico" "Gulf of California Islands" "Isla del Espiritu Santo" -110.342728 24.473187 85.8
14149 "California Islands" "MEX" "Mexico" "Gulf of California Islands" "Isla Partida" -110.386154 24.559953 18.5
14268 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Fernandez Cay" -75.491612 24.349941 359.42
14640 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "New Providence Island" -77.404185 25.031495 217.51
14731 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Pumpion Cay" -78.05976 24.68949 3766.08
